Tender Title,Organization,Description,Procurement stage,Notice status,Approach to market date,Closing,Contract location,Min Contract value,Max Contract value,Publication date,Last Edited
PS22373 - Consultancy project on operability of the GB electricity system for REMA programme,UK SHARED BUSINESS SERVICES LIMITED,"UK Shared Business Services (UK SBS) on behalf of the Department for Business, Energy and Industrial Strategy (BEIS) will shortly be approaching the market to formally tender for a Consultancy project on operability of the GB electricity system for REMA programme.

At present we are trying to establish if an Open (below threshold) or Call off ...",Future opportunity,Open,16 November 2022,Not Available,United Kingdom,100000,Not Available,7 November 2022,Not Available
"Freight Forwarding, Storage and Hub Services",UK Hydrographic Office,"This a one year Contract for the provision of Freight Forwarding, Storage and Hub Services, with options to extend the duration by up to three further years, each of twelve months each.",Opportunity,Open,Not Available,"9 December 2022, 11am",South West,1000000,Not Available,7 November 2022,Not Available
Insurance Services and Associated Services for Great Yarmouth Services Limited for Great Yarmouth Borough Council,Breckland District Council and South Holland District Council,Insurance Services and Associated Services for Great Yarmouth Services Limited,Opportunity,Open,Not Available,"16 December 2022, 12pm",NR19 1EE,150000,200000,7 November 2022,Not Available
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,"DPS1 1018
HWS (R)
FELLS x4 TREES 
Parking Suspension upon request  This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"24 November 2022, 10am",United Kingdom,0,Not Available,7 November 2022,Not Available
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Parks,London Borough of Haringey - Parks and Leisure,"Springfield Community Park N11 (CSG 562)
As per our site meeting 
Please diarise a date for the works  This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"18 November 2022, 10am",United Kingdom,0,Not Available,7 November 2022,Not Available
Community Occupational Therapy Service,Isle of Wight Council,"The Isle of Wight Council (""The Authority"") are commissioning a Community Occupational Therapy Service that will provide specialist support for local people to achieve their identified outcomes in line with the Care Act 2014, the Housing and Regeneration Act 2008 and Childrens and Families Act 2014 principles.  The Community Occupational Therapy ...",Opportunity,Open,Not Available,"19 December 2022,  2pm",England,2240000,Not Available,7 November 2022,Not Available
GB-London: Information Technology Service Management,The Careers & Enterprise Company,Information Technology Service Management,Opportunity,Open,Not Available,"16 December 2022, 11:45pm",London,100000,500000,7 November 2022,Not Available
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,London Borough of Haringey - Parks and Leisure,"CSG 554 
LARKSPUR CLOSE 
OAK TO FELL  This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"17 November 2022, 10am",United Kingdom,0,Not Available,7 November 2022,Not Available
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,London Borough of Haringey - Parks and Leisure,"ABCC 
HWS (R) 
DPS1 1025
 

 This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"28 November 2022, 10am",United Kingdom,0,Not Available,7 November 2022,Not Available
Cyber Remediation Cyber Ops Delivery Partner,H M Revenue & Customs,"HMRC Chief Digital and Information Office (CDIO) is the internal department tasked with the provision of critical IT services, which enable billions of pounds of annual tax revenue, customer interfaces, and other UK tax operational systems.

The Enterprise Security Programme has secured investment for a three-year period which started April 2022....",Opportunity,Open,Not Available,"5 December 2022,  5pm",United Kingdom,6000000,7500000,7 November 2022,Not Available
Accommodation based support service for women and children experiencing domestic violence,London Borough of Redbridge,"The Council of the London Borough of Redbridge (""the Authority"") are seeking Tenders from suitably 
experienced and qualified organisations for the contract for the provision of accommodation based 
support service for women and children experiencing domestic violence. 

The contract shall commence on the 1st April 2023 and shall continue up to and...",Opportunity,Open,Not Available,"8 December 2022, 12pm",England,421490,Not Available,7 November 2022,Not Available
Mental Capacity Act (MCA) and Deprivation of Liberty (DOL) Training,Suffolk County Council Workforce Development,"Delivery of a suite of MCA and DOL training, to include the following four training topics with the availability to deliver the following quantities of training per annum:
      1. Mental Capacity Act (MCA) and Deprivation of Liberty Safeguards (DOLS) - up to 12 x 1- day (or equivalent) sessions per year (minimum 6 hours virtual delivery)
      2....",Opportunity,Open,Not Available,"9 January 2023, 12pm",IP1 2BX,50000,88000,7 November 2022,Not Available
GB-Middlesbrough: BIOS Autoclaves,Teesside University,"The School of Health & Life Sciences is looking to purchase one large autoclave with internal volume in the region of 550 to 750 Litres. Also, x2 smaller autoclaves of internal volume in the region of 40 to 50 Litres.  
      
      They will be used for the sterilisation and preparation of materials, which are for teaching laboratory classes on ...",Opportunity,Open,Not Available,"29 November 2022,  5pm",North East,100000,500000,7 November 2022,Not Available
Renewable Energy Study,Gloucester City Council,"TO review relevant policy, technical research and planning case law to provide an up-to-date context for the delivery of renewable energy installations in the Gloucester City, Cheltenham Borough and Tewkesbury Borough local authority areas (the JCS area). Include within this initial review consideration of renewable energy installations within ...",Opportunity,Open,Not Available,"25 November 2022, 12pm",South West,70000,Not Available,7 November 2022,Not Available
Approved Mental Health Professional (AMHP) Training,Suffolk County Council Workforce Development,"Delivery of a suite of training to meet the needs of our AMHP staff including:
      AMHP Legal Update Refresher - 2 x 1-day sessions per year (min 6 hours virtual delivery)
      Report Writing for AMHPs - 2 x 1-day session during 2023 (min 6 hours virtual delivery)
      Assessing People with Autism under the Mental Health Act - 2 x 1-day session...",Opportunity,Open,Not Available,"5 January 2023, 12pm",IP1 2BX,9000,12000,7 November 2022,7 November 2022
Tender for the supply and distribution of food and drinks to The Greenshaw and Folio Trusts,Pelican Procurement Services,Tender for the supply and distribution of food and drinks to The Greenshaw and Folio Trusts,Opportunity,Open,Not Available,"7 December 2022, 10:30am","South East, South West, London",13206,Not Available,7 November 2022,Not Available
SSC HLPS CP 22,SSC Partnership Limited,"Honilands Primary School are seeking a suitably qualified and experienced Contractor to supply daily and periodic cleaning services to the school and associated buildings located in North London, UnitedKingdom. The school will sign a contract with the successful Contractor for a period of 36 months with the option to extend for up to afurther 24 ...",Opportunity,Open,Not Available,"13 December 2022, 12pm",London,0,Not Available,7 November 2022,Not Available
Fire Risk Assessment Rectifications,Housing Solutions Ltd,"Housing Solutions are carrying out an ongoing programme of fire risk assessments via a dedicated surveying partner. To date, contractors have been engaged on an ad-hoc basis to deliver rectification works required by these surveys on a job-by-job basis.Owing to the volume of works identified to date, and the expectation that the ongoing surveying ...",Opportunity,Open,Not Available,"4 January 2023,  5pm",South East,0,Not Available,7 November 2022,Not Available
IVS/164/P286 - Bespoke Electronic timesheet and CRM System,SparkFund,"***PLEASE NOTE*** this is re advertisement with a short extension for submissions. This is due to a delay in releasing question details. Please see the SparkFund website for more information
We are seeking to appoint a single supplier to deliver electronic timesheets and CRM systems providing a cradle to grave user experience for our Ethical ...",Opportunity,Open,Not Available,"11 November 2022, 12pm",Yorkshire and the Humber,0,23790,7 November 2022,Not Available
Elmwood Junior School - Catering Tender,Elmwood Junior School,Tender for the provision of catering services at this junior school in Croydon.,Opportunity,Open,Not Available,"13 January 2023, 12pm",South East,0,Not Available,7 November 2022,Not Available
"Southborough High School, Surbiton - Catering Tender",Southborough High School,Tender for the provision of catering services.,Opportunity,Open,Not Available,"20 January 2023, 12pm",South East,0,Not Available,7 November 2022,Not Available
Waste & Recycling for Norwich,Norwich BID Ltd,"Contracts for business waste and recycling services across the city.  To include food waste and opportunities to maximise upcycling opportunities.
The contracts are open ended.
Individual contract with businesses will be issued based on a collective price.
The objectives of the contract are:
Provision of a simple and cost-effective solution to help...",Future opportunity,Open,30 November 2022,Not Available,East of England,50000,200000,7 November 2022,Not Available
Bromford Construction Works & Services DPS,Bromford Housing Group,"Bromford is looking to create a DPS for the provision of construction works and services relating to the maintenance of social housing.

The purpose of the DPS is to ensure access to quality contractors across Bromford's geographical regions.

The DPS is split into 20 categories:
1. Groundworks
2. Brickwork
3. Fencing & Gates
4. Drainage
5. ...",Opportunity,Open,Not Available,"7 December 2022,  5:30pm",England,60000000,Not Available,7 November 2022,Not Available
"Provision of a Climate Change Strategy and Action Plan, and Climate Risk and Vulnerability Assessment",Gloucester City Council,"Gloucester City Council (""Authority"") are seeking to obtain consultancy services for the delivery of a Climate Change Strategy and Action Plan, and Climate Risk and Vulnerability Assessment. The aim of this tender is to source a consultant who will provide, in collaboration with Authority officers, a comprehensive, public-facing, evidence-based ...",Opportunity,Open,Not Available,"25 November 2022, 12pm",South West,100000,Not Available,7 November 2022,7 November 2022
Fencing & Gates - Fencing miscellaneous (20% VAT),London Fire Brigade,"Removal of the existing fire station yard gates, posts and perimeter fencing. 

Replacing with commercial grade electronic motorised yard gates, provision of electrical services, security system and telephone handset operation system. 
The provision of new high security perimeter fencing to the rear of the station.
 This opportunity has been ...",Opportunity,Open,Not Available,"5 December 2022, 12pm",United Kingdom,175000,Not Available,7 November 2022,Not Available
Fencing & Gates - Fencing miscellaneous (20% VAT),London Fire Brigade,"Removal of the existing fire station yard gates and posts. 

Replacing with commercial grade electronic motorised units, provision of electrical services, security system and telephone handset operation system. 
 This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"5 December 2022, 12pm",United Kingdom,100000,Not Available,7 November 2022,Not Available
Fencing & Gates - Fencing miscellaneous (20% VAT),London Fire Brigade,"Removal of the existing fire station yard gates and posts. 

Replacing with commercial grade electronic motorised units, provision of electrical services, security system and telephone handset operation system. 
 This opportunity has been distributed on adamprocure.co.uk",Opportunity,Open,Not Available,"5 December 2022, 12pm",United Kingdom,100000,Not Available,7 November 2022,Not Available
Adult Safeguarding Training,Suffolk County Council Workforce Development,"Delivery of a suite of Adult Safeguarding training, to include the following three training topics with the availability to deliver the following quantities of training per annum:
      1. Adult Safeguarding: New starters and 2-year renewal - up to 12 x ½ day sessions per year (minimum 3 hours virtual delivery)
      2. Adult Safeguarding for ACS...",Opportunity,Open,Not Available,"12 December 2022, 12pm",IP1 2BX,40000,70000,7 November 2022,Not Available
The Growth Company Request for Proposal - Social & Environmental Impact Reporting Platform,THE GROWTH COMPANY LIMITED,"Request for Proposal - Social and Environmental Impact Reporting Platform

The Growth Company (GC) invites providers of social and environmental impact reporting software to submit a proposal for this opportunity. 

The requirement is for a software platform that will allow The Growth Company (GC) to manage and report on the following in line ...",Opportunity,Open,Not Available,"25 November 2022,  5pm",M1 5JW,0.01,Not Available,7 November 2022,Not Available
Rape and Sexual Abuse Support Fund (RASASF) Early Engagement,Ministry of Justice,"The purpose of this notice is to:

(i) Inform the market of a prospective grant opportunity in connection with the procurement for the Rape and Sexual Abuse Support Fund (RASASF), currently funded by the Ministry of Justice under various grant agreements, totalling circa to £16m p.a;

and

(ii) give notice of the MoJ&apos;s intention to request ...",Early engagement,Open,Not Available,22 November 2022,SW1H 9AJ,Not Available,Not Available,7 November 2022,Not Available
Esher Sixth Form College ~ Catering Tender,Esher Sixth Form College,"The successful Supplier will be required to provide catering services for Esher Sixth Form College, Weston Green Road, Thames Ditton, Surrey, KT7 0JB.",Opportunity,Open,Not Available,"16 December 2022, 12pm",South East,1794150,Not Available,7 November 2022,Not Available
"For the Provision of Life-Size, Free Standing, Mobile and Modular System to Enable Personal Safety Training for Police Officers",Civil Nuclear Police Authority (CNPA)  / Civil Nuclear Constabulary (CNC),"For the Provision of Life-Size, Free Standing, Mobile and Modular System to Enable Personal Safety Training for Police Officers",Opportunity,Open,Not Available,"16 December 2022,  5pm",Any region,130000,180000,7 November 2022,Not Available
Young Persons Health Challenge,NHS England,"NHS England and Improvement (NHSEI) would like to commission a national provider or consortia to further test and expand a ""Young People's Health Challenge"" programme for 7-14-year olds.  This programme aims to teach young people about the NHS and encourage them to undertake some social action activity to support their local community or the ...",Opportunity,Open,Not Available,"24 November 2022, 12pm",LS2 7UE,83219,Not Available,7 November 2022,Not Available
"Cambridge City Council - Analysis, interpretation, and comparison of tree audit data between 2008 - 2018",Cambridge City Council,Cambridge City Council (Council ) is leading in protecting and enhancing Cambridge's urban forest to ensure it continues to deliver ecosystem services that benefit its residents and visitors now and into the future. These aims are set out in its 2016-2026 Tree Strategy.,Opportunity,Open,Not Available,"30 November 2022, 12pm",England,10000,Not Available,7 November 2022,Not Available
Land and Structural Condition Monitoring,The Coal Authority,"The Coal Authority are looking for companies who can provide Land and Structural Condition Monitoring services.

If you are interested in this requirement, please fill out the attached registration of interest form and return back to helenbaldwin@coal.gov.uk in the procurement team by Friday 25 November 2022.

Please see attached Request for ...",Early engagement,Open,Not Available,24 November 2023,United Kingdom,Not Available,Not Available,7 November 2022,7 November 2022
Building Safety Improvement Works - Contractor Framework - External Wall System Remediation,The Guinness Partnership Ltd,"The Guinness Partnership Ltd. (Guinness) is conducting a procurement process to appoint a framework of contractors to deliver building safety improvements to our properties, specifically those relating to external wall systems (EWS) - inc. cladding, facades, balconies, etc. and related elements (such as 'opening-up' / exploratory works) ...",Opportunity,Open,Not Available,"2 December 2022, 12pm",England,160000000,Not Available,17 October 2022,7 November 2022
Emergency Accommodation Security,Borough Council of King's Lynn & West Norfolk,"The Borough Council of King's Lynn & West Norfolk intends to let a contract for the supply of emergency accommodation security at Kingsway Pavilion, King's Lynn. The residents of the accommodation will be former rough sleepers.",Opportunity,Open,Not Available,"7 December 2022, 12pm",East of England,180000,Not Available,7 November 2022,Not Available
CA11102 - Utility Supply and Energy Management Services Framework,University of Essex,"The Contracting Authority wishes to establish a Framework Agreement to meet the Utility Supply and Energy Management Services needs of the University of Essex, https://www.essex.ac.uk/ and It is also open for use by all contracting authorities across the UK public sector (and any future successors to these organisations). These include (but not ...",Opportunity,Open,Not Available,"18 November 2022, 12pm",CO4 3SQ,660000000,Not Available,5 October 2022,7 November 2022
National Highways Area 12 M&R - Facilities Management works,AMEY OW LIMITED,"We are currently working on the National Highways Area 12 contract and would be pleased to receive your quotation to carry out depot facilities depot management works on the contract all in accordance with the attached documentation.

We are looking for tenderers to quote the attached SoR, rates should remain fixed until 31-12-23 when indexation...",Opportunity,Open,Not Available,"16 November 2022,  5pm",Yorkshire and the Humber,600000,Not Available,7 November 2022,Not Available
"King William House, Bristol - Replacement of Lift 2",South Somerset District Council,"South Somerset District Council requires the replacement of one lift within the premises of King William House, 13 Queen Square, Bristol BS1 4NT. The building is served by two lifts that are installed side by side within a shared constructed lift well. The project requires the removal of all existing lift equipment (Lift 2) and the installation of...",Opportunity,Open,Not Available,"7 December 2022, 12pm",BS14NT,100000,Not Available,7 November 2022,Not Available
Surfacing and Civils Works Framework,Blackburn with Darwen Borough Council,"Blackburn with Darwen Borough Council are looking to appoint suitably qualified and technically competent Contractors to provide surfacing and generalised civils works for a very varied portfolio of highways and assets across the borough. This tender is split into 4 lots which are below:
• Lot 1 - Surfacing
• Lot 2 - Civils
• Lot 3 - Surface...",Opportunity,Open,Not Available,"9 December 2022,  5pm",England,7000000,Not Available,7 November 2022,Not Available
Tender for the Development of an Estates and Campus Strategy for the University of Birmingham to 2045,THE UNIVERSITY OF BIRMINGHAM,"The University of Birmingham is an academic community of staff and students, alumni and partners, a place for open, critical thinking, and the creation, sharing, and dissemination of knowledge. The University was founded on the vision of Joseph Chamberlain in 1900 to provide a university for the people of Birmingham, 'a great school of ...",Opportunity,Open,Not Available,"7 December 2022,  3pm",b15 2tt,250000,500000,7 November 2022,Not Available
Provision of rough sleeper complex needs accommodation,London Borough of Redbridge,"The Council of the London Borough of Redbridge (""the Authority"") are seeking Tenders from suitably 
experienced and qualified organisations for the contract for the provision of rough sleeper complex 
needs accommodation. 

The contract shall commence on the 1st April 2023 and shall continue up to and including the 31st March 
2025 with an option ...",Opportunity,Open,Not Available,"8 December 2022, 12pm",England,1437579,Not Available,7 November 2022,Not Available
Market Engagement Event for Integrated MSK Services for South and West Hertfordshire,Attain,"NHS Hertfordshire and West Essex Integrated Care Board (HWE ICB) intends to develop an Integrated MSK Service for the South & West place area.  The proposal is to commission a suitably qualified and experienced provider to deliver an Integrated MSK Service which will work as a key partner within the South & West Hertfordshire system.

The service ...",Early engagement,Open,Not Available,25 November 2022,AL8 6JL,Not Available,Not Available,7 November 2022,Not Available
Soft Market Test: Power Purchase Agreement (PPA) for Quorn Solar Farm,Leicestershire County Council,"Leicestershire County Council ""the Council"" is undertaking a Soft Market Testing (SMT) exercise to understand how to maximise the benefit from its investment into a solar farm currently planned to be completed by Autumn 2023.  

The site is expected to generate approximately 10,000 MWh of electricity which would be fed directly into the energy grid...",Future opportunity,Open,1 June 2023,Not Available,United Kingdom,1000000,10000000,7 November 2022,7 November 2022
Public Deliberation Research,Genomics England,"Genomics England's Newborns Genome Programme is co-designing and running an NHS-embedded research study to explore the benefits, challenges, and practicalities of sequencing and analysing the genomes of newborns through using whole genome sequencing (WGS). The evidence gathered from the study will be evaluated rigorously to inform decisions ...",Opportunity,Open,Not Available,"23 November 2022, 12pm",EC1M 6BU,100000,Not Available,7 November 2022,7 November 2022
Outsourced Autism Assessments,Central London Community Healthcare NHS Trust,"Central London Community Healthcare NHS Trust is seeking a qualified provider for the provision of Outsourced Autism Assessments.

The Trust intends to award a one (1) year contract to one provider through a competitive tender process.

All the tender details relating to this opportunity can be found on the tender portal.

https://procontract.due-...",Opportunity,Open,Not Available,"7 December 2022, 12pm",England,150000,Not Available,7 November 2022,Not Available
71 St Kathrines Way - Refurbishment,Warrington Borough Council,Refurbishment of offices and accommodation space,Opportunity,Open,Not Available,"5 December 2022, 12pm",England,100000,Not Available,7 November 2022,Not Available
Contract 90 - Planned Electrical Works 2023-2025,North Tyneside Council,"The Authority is seeking expressions of interest from suitably qualified and experienced Contractors to enter into a framework agreement (Framework) for the delivery of its Contract 90 - Housing Planned Electrical Works (2023 - 2025) (the Works) to assist with the delivery of the Authority's capital investment plan.

The Authority will be the ...",Opportunity,Open,Not Available,"13 December 2022, 12pm",England,3000000,Not Available,7 November 2022,7 November 2022
Systems Integrator for SAP S/4 HANA upgrade,BIP SOLUTIONS LIMITED,"The University of Leeds' existing SAP ECC6 environment has been in place since 1999. Since then, the environment has been added to, extending SAP and expanding the systems supporting HR, Finance and Purchasing with other third-party offerings. This has led to an environment in need of simplification and systemisation. The university now wishes ...",Opportunity,Open,Not Available,"6 February 2023, 12am",Yorkshire and the Humber,0,Not Available,7 November 2022,Not Available
iDecide Phase3 + - Oversight,NHS England,"NHS England would like to commission an external oversight provider to successfully embed iDecide decision making and consent tool in an additional 20 maternity units as part of the phase 3 implementation.
iDecide has been developed as there is not currently a decision-making tool for maternity-related decisions that is fit for purpose for both ...",Opportunity,Open,Not Available,"28 November 2022, 12pm",England,522000,Not Available,27 October 2022,7 November 2022
Consultant required to develop a cultural strategy for Kirklees,Kirklees Council,"Kirklees Council are inviting applications for a consultant to lead on the development and writing of a cultural strategy for Kirklees.  Details of the brief and how to apply can be found at  https://www.creativekirklees.com/en-UK/page/6368f790c9a3ff22d14c3dd5?count=24&sort=creationDate&reverse=true  

For more information on the expectations and...",Opportunity,Open,Not Available,"5 December 2022,  9am",Yorkshire and the Humber,45000,Not Available,7 November 2022,7 November 2022
CA11343 - Tender for Portable Wireless Battery-Powered HD Mobile System,New College Swindon,"A portable wireless battery powered HD mobile system, ideal for in-situ simulation, a portable solution to record and review healthcare learning anywhere. Enabling to grow and develop simulation learning environments.

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA11343.

Not ...",Opportunity,Open,Not Available,"6 December 2022, 12pm",SN3 1AH,0,Not Available,7 November 2022,Not Available
CP2300-22 - Contract for the Treatment of Organic Sweepings Waste,Devon County Council,"This notice is not a call for competition.

The treatment of Organic Sweepings Waste collected by the eight district councils in Devon is currently under contract and is due to expire in March 2024. The Authority is therefore planning to re-tender the service in Spring 2023, with the service to commence from 1st April 2024.
In 2021-22, ...",Early engagement,Open,Not Available,25 November 2022,South West,Not Available,Not Available,7 November 2022,Not Available
"ASC22031 - Specialist Social Care Services For Young People with Mental Health Needs, and Adults with Mental Health Needs.",Worcestershire County Council,"Worcestershire County Council has recently undertaken a needs assessment of social care services for people with mental health needs. Gaps have been identified in the provision of certain types of support and we are looking to develop new services to commission. 
      
      To help with this, we are asking providers to share best practice ...",Opportunity,Open,Not Available,"24 November 2022,  6pm",WR5 2NP,0,Not Available,7 November 2022,Not Available
UKSAC22-0034 Technical Support for UK partnership on MicroCarb project,"Department for Business, Energy & Industrial Strategy","The final date and time for the submission of bids is Monday, 21 November 2022 at 11:00 

DO NOT apply directly to the buyer.

All tender information MUST be submitted through the Jaggaer eSourcing Portal.

Brief Description of Requirement

The successful bidder for this contract will manage the portfolio of agreed UK activity for the MicroCarb ...",Opportunity,Open,Not Available,"21 November 2022, 11am",Any region,50000,Not Available,7 November 2022,Not Available
"Carers Advice, Support and Wellbeing Service and Dementia Support Services in London Borough of Redbridge",London Borough of Redbridge,These contracts form part of our voluntary and community sector services around early intervention and prevention services to support Carers and vulnerable service users in the London Borough of Redbridge.,Opportunity,Open,Not Available,"7 December 2022,  5pm",England,1262028,Not Available,7 November 2022,Not Available
Concession for Council Car Park Electric Vehicle Ultra-Rapid Chargers,Cheshire west and Chester Borough Council,"Cheshire West and Chester Council is offering an opportunity to enter into a long-term concession agreement to supply, install, maintain and operate electric vehicle ultra-rapid charge points within selected Council car parks and on-street locations throughout the borough.

Interested parties must respond via the Chest www.the-chest.org.uk with ...",Opportunity,Open,Not Available,"1 December 2022, 10am",United Kingdom,0,Not Available,27 October 2022,7 November 2022
P78 WORKS BMS REPLACEMENT PROJECT,ROYAL BERKSHIRE NHS FOUNDATION TRUST,WORKS BMS REPLACMENTS FOR BUILDINGS DETAILED IN THE TENDER DOCUMENTS,Opportunity,Open,Not Available,"22 November 2022, 12pm",RG1 5LN,500000,Not Available,7 November 2022,Not Available
Invitation to Tender for Pump Track at Edenfield Recreation Ground,Rossendale Borough Council,See link,Opportunity,Open,Not Available,"21 November 2022,  1pm",North West,45000,Not Available,7 November 2022,Not Available
HCC 10/22 - Supported Living at Forest Lane,Hertfordshire County Council  - Adult Care Services,"ALTHOUGH THERE IS NO LONGER ACCESS TO THE PROVIDER EVENT - ACCESS TO THE DOCUMENT SET WILL NOW BE AVAILABLE UNTIL MONDAY 14TH NOVEMBER 2022 5PM
      
      Hertfordshire County Council ('the Council') wishes to invite interested Care Providers to attend an on-line information and feedback event on Wednesday 2nd November 2022 at 1pm via ...",Opportunity,Open,Not Available,"14 November 2022,  5pm",SG13 8DE,0,Not Available,21 October 2022,7 November 2022
Better Business Cases Programme,Crown Commercial Service,"Crown Commercial Service, as the Authority, intends to put in place an agreement for the provision of the Better Business Case Programme.

The Better Business Cases programme aims to significantly increase and maintain the capacity of the UK public sector to create and plan optimum value proposals for investment, spending and use of public ...",Opportunity,Open,Not Available,"11 November 2022,  5pm",United Kingdom,1,Not Available,14 October 2022,7 November 2022
"THE PROVISION FOR THE SUPPLY,INSTALLATION AND MAINTENANCE OF GYM EQUIPMENT",University of Birmingham,"The tender is for The Supply, Installation and Maintenance of Gym Equipment to the University of Bimingham.
      
      The University of Birmingham is one of the most prestigious sporting institutions in the UK, recently delivering multiple competition and training venues for the Birmingham 2022 Commonwealth Games. We are committed to maintaining...",Opportunity,Open,Not Available,"7 December 2022, 12pm",B15 2TT,0,500000,7 November 2022,7 November 2022
Festive Light Contractor,HOOK PARISH COUNCIL,"Hook Parish Council is looking to appoint an experienced and reliable festive light contractor based within a reasonable distance of Hook in Hampshire. 
Hook Parish Council have been fortunate to have previously owned all their festive lights but are now looking for a contractor to provide a full rental option and would strongly advise interested...",Opportunity,Open,Not Available,"16 January 2023, 12pm",RG27 9NN,7000,15000,25 March 2022,7 November 2022
Housing Maintenance & Repair,Crown Commercial Service,"This dynamic purchasing system (DPS) provides a compliant, one stop shop for all aspects of housing maintenance & repair for both tenanted and void/vacant properties. Featuring a vast range of both planned and reactive maintenance & repair services, the agreement also provides access to essential compliance services such as fire safety, electrical...",Opportunity,Open,Not Available,"23 January 2027, 12am",United Kingdom,500000000,Not Available,7 November 2022,Not Available
CA11340 - Tender for a Virtual Simulation Module(Vsim),New College Swindon,"Simulation to provide standardization of medical cases, to promote critical thinking, allows supervision of patient care, provides immediate feedback, and to help students to assimilate knowledge and experience.

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA11340.

Not registered: ...",Opportunity,Open,Not Available,"30 November 2022, 12pm",SN3 1AH,0,Not Available,7 November 2022,Not Available
Office/Depot Cleaning 2023 - 26,Weaver Vale Housing Trust e-Tendering,"Weaver Vale Housing Trust is seeking tenders for the provision of Cleaning Services at its offices at Gadbrook Park in Northwich and Depots in Winsford, Lostock and Leftwich, Cheshire",Opportunity,Open,Not Available,"9 December 2022, 12pm",CW9 7LL,40000,60000,7 November 2022,Not Available
Expression of Interest for the Provision of Non-Statutory Adult Eating Disorders Services,NHS Arden and Greater East Midlands Commissioning Support Unit,"NHS Norfolk and Waveney Integrated Care Board (referred to as the Commissioner) are inviting suitably qualified and experienced providers to express their interest in delivering Non-Statutory Adult Eating Disorders Services for NHS Norfolk and Waveney ICB.

This contract is based on an initial term of 5 years with an option to extend for up to a ...",Opportunity,Open,Not Available,"25 November 2022,  5pm",East of England,733887,1027441,7 November 2022,Not Available
M621 Junction 1-7 Improvements - Attenuation Tanks,KELTBRAY HIGHWAYS LIMITED,Installation of attenuation tanks at junction 2 on the M621 project as detailed in the attached enquiry documents.,Opportunity,Open,Not Available,"18 November 2022, 11:59pm",Yorkshire and the Humber,250000,Not Available,7 November 2022,7 November 2022
Culcheth Library - Refurbishment,Warrington Borough Council,"Creation of new foyer, additional room and internal refurbishment",Opportunity,Open,Not Available,"5 December 2022, 12pm",England,250000,Not Available,4 November 2022,7 November 2022
Littlebeck & Cock Mill Footbridge Replacement,North Yorkshire County Council,Littlebeck & Cock Mill Footbridge Replacement.  Installation of the footbridges only. The footbridges will be supplied by the client.,Opportunity,Open,Not Available,"6 December 2022, 12pm",Yorkshire and the Humber,20000,25000,7 November 2022,Not Available
Client 185581 Supported Living / EMI Accommodation,Cheshire west and Chester Borough Council,"Client 185581 Supported Living / EMI Accommodation
See www.the-chest.org for details",Opportunity,Open,Not Available,"17 November 2022,  2pm",England,25000,Not Available,7 November 2022,Not Available
CA11341 - Replacement of the steam and condensate pipework,Shropshire Healthcare Procurement Service,"Replacement of the steam and condensate pipework

To access this competition: 

Registered:
Login to https://suppliers.multiquote.com and view the opportunity CA11341.

Not registered:
Visit https://suppliers.multiquote.com then register and quote CA11341 as the reason for registration. 

 Any queries please contact MultiQuote on 0151 482 9230.",Opportunity,Open,Not Available,"18 November 2022, 10am",SY3 8XQ,0,Not Available,7 November 2022,Not Available
MECHANICAL MINOR WORKS: MECHANICAL INSTALLATION MAINTENANCE SERVICES,Derbyshire Support and Facilities Services,Mechanical Installation Maintenance Services for Derbyshire Support and Facilities Services on behalf of Chesterfield Royal Hospital NHS Foundation Trust. https://derbyshire-opportunities.secure.force.com/?searchtype=Projects,Opportunity,Open,Not Available,"7 December 2022, 12pm",S44 5BL,500000,Not Available,7 November 2022,Not Available
Parenting Support and Development Service,London Borough of Hillingdon,"Hillingdon invites suitably experienced providers to participate in a competitive tender.
For full details please view the tender pack at www.capitalesourcing.com
The Contract will be for an initial term of three years extendable at Hillingdon&apos;s sole option for a period of four years, giving a total of seven years (the Term).",Opportunity,Open,Not Available,"9 December 2022, 12pm",UB8 1UW,810509,Not Available,7 November 2022,7 November 2022
Derby Car Club Concession,Derby City Council,"Derby City Council is seeking to appoint a Concessionaire to establish and operate a car club in the city of Derby.

The concession will provide an all-electric car club that provides travel options for local communities and organisations across the city. This will require new bays to be implemented via the Future Transport Zone (FTZ) programme ...",Opportunity,Open,Not Available,"28 November 2022, 10am",East Midlands,516000,Not Available,19 October 2022,7 November 2022
